Timestamp,EAR,PERCLOS,Alert_Status
2026-04-30 12:50:10,0.34,37.44,Normal
2026-04-30 12:50:10,0.30,37.36,Normal
2026-04-30 12:50:10,0.31,37.28,Normal
2026-04-30 12:50:10,0.31,37.19,Normal
2026-04-30 12:50:10,0.31,37.03,Normal
2026-04-30 12:50:10,0.33,36.95,Normal
2026-04-30 12:50:10,0.37,36.87,Normal
2026-04-30 12:50:10,0.31,36.78,Normal
2026-04-30 12:50:10,0.28,36.70,Normal
2026-04-30 12:50:10,0.28,36.62,Normal
2026-04-30 12:50:10,0.28,36.54,Normal
2026-04-30 12:50:10,0.28,36.46,Normal
2026-04-30 12:50:10,0.23,36.60,Normal
2026-04-30 12:50:11,0.22,36.74,Normal
2026-04-30 12:50:11,0.30,36.66,Normal
2026-04-30 12:50:11,0.28,36.58,Normal
2026-04-30 12:50:11,0.28,36.50,Normal
2026-04-30 12:50:11,0.26,36.42,Normal
2026-04-30 12:50:11,0.23,36.56,Normal
2026-04-30 12:50:11,0.23,36.70,Normal
2026-04-30 12:50:11,0.25,36.83,Normal
2026-04-30 12:50:11,0.24,36.97,Normal
2026-04-30 12:50:11,0.28,36.89,Normal
2026-04-30 12:50:11,0.28,36.81,Normal
2026-04-30 12:50:11,0.28,36.73,Normal
2026-04-30 12:50:11,0.25,36.65,Normal
2026-04-30 12:50:11,0.28,36.58,Normal
2026-04-30 12:50:11,0.23,36.71,Normal
2026-04-30 12:50:12,0.26,36.63,Normal
2026-04-30 12:50:12,0.23,36.76,Normal
2026-04-30 12:50:12,0.27,36.69,Normal
2026-04-30 12:50:12,0.27,36.61,Normal
2026-04-30 12:50:12,0.29,36.53,Normal
2026-04-30 12:50:12,0.30,36.46,Normal
2026-04-30 12:50:12,0.29,36.38,Normal
2026-04-30 12:50:12,0.35,36.31,Normal
2026-04-30 12:50:12,0.29,36.23,Normal
2026-04-30 12:50:12,0.33,36.16,Normal
2026-04-30 12:50:12,0.29,36.08,Normal
2026-04-30 12:50:12,0.27,36.01,Normal
2026-04-30 12:50:12,0.26,35.93,Normal
2026-04-30 12:50:12,0.35,35.86,Normal
2026-04-30 12:50:12,0.34,35.79,Normal
2026-04-30 12:50:12,0.31,35.71,Normal
2026-04-30 12:50:13,0.34,35.64,Normal
2026-04-30 12:50:13,0.35,35.57,Normal
2026-04-30 12:50:13,0.33,35.50,Normal
2026-04-30 12:50:13,0.37,35.43,Normal
2026-04-30 12:50:13,0.35,35.35,Normal
2026-04-30 12:50:13,0.33,35.28,Normal
2026-04-30 12:50:13,0.35,35.21,Normal
2026-04-30 12:50:13,0.32,35.14,Normal
2026-04-30 12:50:13,0.37,35.07,Normal
2026-04-30 12:50:13,0.36,35.00,Normal
2026-04-30 12:50:13,0.34,34.93,Normal
2026-04-30 12:50:13,0.34,34.86,Normal
2026-04-30 12:50:13,0.37,34.79,Normal
2026-04-30 12:50:13,0.32,34.72,Normal
2026-04-30 12:50:13,0.37,34.65,Normal
2026-04-30 12:50:13,0.33,34.58,Normal
2026-04-30 12:50:13,0.33,34.52,Normal
2026-04-30 12:50:14,0.34,34.45,Normal
2026-04-30 12:50:14,0.33,34.38,Normal
2026-04-30 12:50:14,0.35,34.31,Normal
2026-04-30 12:50:14,0.32,34.25,Normal
2026-04-30 12:50:14,0.35,34.18,Normal
2026-04-30 12:50:14,0.35,34.11,Normal
2026-04-30 12:50:14,0.35,34.05,Normal
2026-04-30 12:50:14,0.35,33.98,Normal
2026-04-30 12:50:14,0.34,33.91,Normal
2026-04-30 12:50:14,0.35,33.85,Normal
2026-04-30 12:50:14,0.38,33.78,Normal
2026-04-30 12:50:14,0.29,33.72,Normal
2026-04-30 12:50:14,0.34,33.65,Normal
2026-04-30 12:50:14,0.35,33.59,Normal
2026-04-30 12:50:14,0.32,33.52,Normal
2026-04-30 12:50:14,0.34,33.46,Normal
2026-04-30 12:50:14,0.37,33.40,Normal
2026-04-30 12:50:15,0.36,33.33,Normal
2026-04-30 12:50:15,0.32,33.27,Normal
2026-04-30 12:50:15,0.29,33.21,Normal
2026-04-30 12:50:15,0.31,33.14,Normal
2026-04-30 12:50:15,0.26,33.08,Normal
2026-04-30 12:50:15,0.26,33.02,Normal
2026-04-30 12:50:15,0.28,32.96,Normal
2026-04-30 12:50:15,0.26,32.89,Normal
2026-04-30 12:50:15,0.29,32.83,Normal
2026-04-30 12:50:15,0.27,32.77,Normal
2026-04-30 12:50:15,0.28,32.71,Normal
2026-04-30 12:50:15,0.26,32.65,Normal
2026-04-30 12:50:15,0.26,32.59,Normal
2026-04-30 12:50:15,0.26,32.53,Normal
2026-04-30 12:50:15,0.31,32.47,Normal
2026-04-30 12:50:15,0.24,32.59,Normal
2026-04-30 12:50:15,0.23,32.72,Normal
2026-04-30 12:50:16,0.25,32.66,Normal
2026-04-30 12:50:16,0.22,32.78,Normal
2026-04-30 12:50:16,0.23,32.90,Normal
2026-04-30 12:50:16,0.22,33.03,Normal
2026-04-30 12:50:16,0.18,33.15,Normal
2026-04-30 12:50:16,0.17,33.27,Normal
2026-04-30 12:50:16,0.21,33.39,Normal
2026-04-30 12:50:16,0.18,33.52,Normal
2026-04-30 12:50:16,0.20,33.64,Normal
2026-04-30 12:50:16,0.19,33.76,Normal
2026-04-30 12:50:16,0.16,33.88,Normal
2026-04-30 12:50:16,0.23,34.00,Normal
2026-04-30 12:50:16,0.24,34.12,Normal
2026-04-30 12:50:16,0.24,34.23,Normal
2026-04-30 12:50:16,0.20,34.35,Normal
2026-04-30 12:50:16,0.23,34.47,Normal
2026-04-30 12:50:16,0.22,34.59,Normal
2026-04-30 12:50:17,0.18,34.70,Normal
2026-04-30 12:50:17,0.20,34.82,Normal
2026-04-30 12:50:17,0.22,34.94,Normal
